slug,date,open,high,low,close,currency
EUR/BRL,13/06/2006,2.8877,2.9231,2.8733,2.8711,BRL
EUR/BRL,14/06/2006,2.8726,2.9126,2.8651,2.8768,BRL
EUR/BRL,15/06/2006,2.7519,2.8757,2.7519,2.8519,BRL
EUR/BRL,16/06/2006,2.8579,2.8835,2.8316,2.8404,BRL
EUR/BRL,19/06/2006,2.8267,2.8303,2.7956,2.8055,BRL
EUR/BRL,20/06/2006,2.8242,2.8415,2.8121,2.8168,BRL
EUR/BRL,21/06/2006,2.8174,2.8427,2.8143,2.8348,BRL
EUR/BRL,22/06/2006,2.8127,2.8168,2.7947,2.8037,BRL
EUR/BRL,23/06/2006,2.8109,2.8229,2.7969,2.8083,BRL
EUR/BRL,26/06/2006,2.7891,2.8024,2.7812,2.8005,BRL
EUR/BRL,27/06/2006,2.8181,2.8192,2.796,2.8012,BRL
EUR/BRL,28/06/2006,2.8082,2.8107,2.7861,2.7906,BRL
EUR/BRL,29/06/2006,2.7807,2.7807,2.7532,2.7903,BRL
EUR/BRL,30/06/2006,2.7645,2.7684,2.7454,2.7649,BRL
EUR/BRL,03/07/2006,2.7646,2.7692,2.7532,2.7603,BRL
EUR/BRL,04/07/2006,2.7862,2.7872,2.7594,2.7657,BRL
EUR/BRL,05/07/2006,2.7755,2.7913,2.7603,2.7861,BRL
EUR/BRL,06/07/2006,2.7952,2.797,2.7787,2.7844,BRL
EUR/BRL,07/07/2006,2.7772,2.7893,2.7692,2.7788,BRL
EUR/BRL,10/07/2006,2.7886,2.7895,2.7564,2.762,BRL
EUR/BRL,11/07/2006,2.7632,2.7882,2.7601,2.7818,BRL
EUR/BRL,12/07/2006,2.7793,2.7819,2.7678,2.7763,BRL
EUR/BRL,13/07/2006,2.7811,2.8076,2.7788,2.7972,BRL
EUR/BRL,14/07/2006,2.7976,2.7992,2.6506,2.6506,BRL
EUR/BRL,17/07/2006,2.7786,2.7787,2.764,2.7671,BRL
EUR/BRL,18/07/2006,2.7523,2.7614,2.7365,2.7439,BRL
EUR/BRL,19/07/2006,2.7359,2.7374,2.7337,2.7561,BRL
